,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
6,Alaknanda,28.52708788434782,77.25224388782608,23,"Mithai, North Indian, South Indian, Street Food, Mithai, Street Food, Cafe, Mithai, North Indian, South Indian, Street Food, Fast Food, Raw Meats, North Indian, Fast Food, Chinese, North Indian, Italian, Mughlai, Chinese, Chinese, Thai, North Indian, Mughlai, Street Food, Fast Food, Beverages, Chinese, Bakery, Fast Food, Desserts, Ice Cream, North Indian, North Indian, North Indian, South Indian, Chinese, Bakery, Desserts, North Indian, Biryani, Bengali, Ice Cream, Desserts, Chinese, Mughlai, North Indian, South Indian, North Indian, Chinese",3.1173913043478256,"Average, Good, Poor",1012,0,Market,Food & Drink Shop,Cosmetics Shop,Steakhouse,Coffee Shop,New American Restaurant,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
7,"Ambience Mall, Vasant Kunj",28.54129754333334,77.15520451583333,12,"Turkish, Pizza, Italian, Burger, Fast Food, Asian, Chinese, American, Continental, Chinese, North Indian, Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian, North Indian, South Indian, North Indian, Street Food, Mughlai, Cafe, Desserts, Cafe, Seafood, South Indian, Andhra, Hyderabadi, Goan",3.4250000000000007,"Average, Good, Very Good",2460,0,Coffee Shop,Italian Restaurant,Fast Food Restaurant,Clothing Store,Shopping Mall,Asian Restaurant,Café,Indian Restaurant,Chinese Restaurant,Bar
8,Anand Lok,28.555599449999995,77.21912499999999,2,"Chinese, Fast Food, North Indian, South Indian, Italian, Continental, Cafe",3.8,"Average, Very Good",2411,0,Café,Stadium,Metro Station,Dessert Shop,Golf Course,Coffee Shop,Music Venue,Hotel,Other Great Outdoors,Food Court
9,Anand Vihar,28.659869603703697,77.3094903074074,27,"Fast Food, North Indian, Chinese, Desserts, Chinese, Fast Food, Street Food, South Indian, Fast Food, Bakery, Desserts, North Indian, Chinese, Fast Food, Chinese, Fast Food, Ice Cream, Desserts, Cafe, North Indian, Fast Food, Chinese, South Indian, Fast Food, Chinese, Fast Food, Fast Food, North Indian, Chinese, Mughlai, North Indian, Fast Food, Healthy Food, Chinese, North Indian, Italian, Bakery, Desserts, Fast Food, Pizza, Burger, Continental, Street Food, North Indian, Chinese, South Indian, Fast Food, North Indian, Chinese, Bakery, Desserts, Desserts, Bakery, Pizza, Burger, Continental, Cafe, Bakery",3.281481481481481,"Average, Good",1309,0,Café,ATM,Burger Joint,Burrito Place,Food Court,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
16,Barakhamba Road,28.630440152500004,77.23062397833333,12,"North Indian, South Indian, Chinese, North Indian, South Indian, Chinese, Street Food, Mithai, Cafe, North Indian, Fast Food, North Indian, Fast Food, Bakery, Mithai, North Indian, South Indian, Street Food, Mithai, North Indian, Chinese, North Indian, Street Food, Chinese, South Indian, Mithai, Bengali, North Indian, Chinese, Bakery, Desserts, Fast Food, Lebanese, Arabian, Moroccan",3.2083333333333335,"Average, Good, Poor",1779,0,Bakery,Indian Restaurant,Hotel,Theater,Café,Arcade,Nightclub,Art Gallery,Hotel Bar,Food & Drink Shop
17,"Basant Lok Market, Vasant Vihar",28.557846292,77.163955714,15,"Cafe, Chinese, Fast Food, Pizza, Fast Food, North Indian, Italian, Pizza, Fast Food, Bakery, Fast Food, Fast Food, North Indian, Japanese, Chinese, Malaysian, Thai, Vietnamese, Lebanese, Chinese, Thai, North Indian, Burger, Desserts, Fast Food, North Indian, Chinese, Fast Food, Burger, Chinese, Finger Food",3.2199999999999998,"Average, Good, Poor",1875,0,Café,Pizza Place,Restaurant,Coffee Shop,Fast Food Restaurant,Chinese Restaurant,Gourmet Shop,Movie Theater,Food & Drink Shop,Middle Eastern Restaurant
20,Bhikaji Cama Place,28.56819267888888,77.18822508666666,9,"North Indian, Street Food, Chinese, Japanese, Thai, Mithai, North Indian, Fast Food, North Indian, Desserts, Ice Cream, North Indian, North Indian, Mughlai, South Indian, Pizza, Fast Food, South Indian",2.7555555555555555,"Average, Poor",339,0,Lounge,Italian Restaurant,Gym / Fitness Center,Market,Asian Restaurant,Chinese Restaurant,Hotel,Modern European Restaurant,Café,Breakfast Spot
21,Chanakyapuri,28.58979668214286,77.18903640714286,28,"Chinese, North Indian, Bakery, Italian, Fast Food, Chinese, Continental, Chinese, North Indian, Chinese, North Indian, North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai, Cafe, Chinese, North Indian, North Indian, South Indian, Chinese, Chinese, Chinese, North Indian, Seafood, Chinese, Cafe, Fast Food, North Indian, Mughlai, Kashmiri, North Indian, Chinese, North Indian, Chinese, North Indian, Chinese, North Indian, Cafe, Healthy Food, North Indian, South Indian, Chettinad, North Indian, Chinese, Bakery, Chinese, Gujarati, South Indian, North Indian, Bakery, Desserts, Assamese, Chinese, North Indian, Mughlai, North Indian, Mughlai, Chinese",3.085714285714286,"Average, Good, Poor",1617,0,African Restaurant,Park,Trail,Concert Hall,Café,Women's Store,Food & Drink Shop,Garden Center,Garden,Gaming Cafe
27,"City Centre Mall, Rohini",28.7168739,77.11422320000001,1,"North Indian, Mughlai, Chinese",3.4,Average,134,0,Department Store,Shopping Mall,Indian Restaurant,Multiplex,Gym,Light Rail Station,Fast Food Restaurant,Café,Food Court,Garden
28,"City Square Mall, Rajouri Garden",28.650253866666663,77.12340926666667,3,"Continental, North Indian, Chinese, North Indian, Italian, Fast Food, North Indian, Chinese, Continental, Italian",3.1666666666666665,"Average, Good",1217,0,Café,Fast Food Restaurant,Indian Restaurant,Shopping Mall,Hookah Bar,Snack Place,Multiplex,Clothing Store,Garden,Asian Restaurant
