,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
29,Civil Lines,28.681232587500002,77.22358365000001,8,"Mughlai, North Indian, Bakery, Desserts, Chinese, North Indian, Mughlai, Bakery, Desserts, Fast Food, Chinese, South Indian, Cafe, Italian, Continental, Gujarati, Chinese, Japanese, Korean, Asian",3.3000000000000003,"Average, Good, Very Good",769,0,Chinese Restaurant,Burger Joint,Light Rail Station,Coffee Shop,Smoke Shop,Women's Store,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
30,"Community Centre, New Friends Colony",28.561897627058816,77.26857332,17,"Chinese, North Indian, Street Food, Ice Cream, North Indian, Mughlai, North Indian, Chinese, Cafe, Cafe, North Indian, Street Food, Mithai, North Indian, Mughlai, North Indian, Mughlai, Chinese, North Indian, Mughlai, North Indian, Fast Food, North Indian, North Indian, Mughlai, Bakery, Desserts, Fast Food, North Indian, Italian, Tex-Mex, Continental, North Indian",3.0999999999999996,"Average, Good",1514,0,Café,Fast Food Restaurant,Italian Restaurant,Sandwich Place,Hotel,Lounge,Middle Eastern Restaurant,Nightclub,Diner,Indian Restaurant
31,Connaught Place,28.632090644201675,77.22033222663865,119,"North Indian, Chinese, Mughlai, North Indian, Continental, Italian, Cafe, Finger Food, Continental, North Indian, Chinese, Cafe, North Indian, Chinese, North Indian, Chinese, North Indian, Mughlai, Continental, Fast Food, North Indian, Chinese, Italian, Continental, North Indian, Chinese, Italian, Continental, South Indian, North Indian, Chinese, North Indian, Italian, Continental, Continental, Italian, Asian, Indian, Ice Cream, North Indian, North Indian, Chinese, Thai, Continental, Mexican, American, Italian, North Indian, Burger, Fast Food, Burger, Juices, Finger Food, Cafe, North Indian, European, Chinese, Continental, North Indian, North Indian, Continental, Italian, North Indian, Chinese, Italian, Mediterranean, Pizza, Italian, Cafe, Cafe, Cafe, Tea, Asian, Japanese, Chinese, Thai, Chinese, North Indian, Mughlai, Pizza, Fast Food, Burger, Desserts, Fast Food, Burger, Desserts, Fast Food, North Indian, Continental, European, North Indian, Mexican, Italian, Continental, Healthy Food, Beverages, Street Food, North Indian, South Indian, Chinese, Mithai, North Indian, Continental, North Indian, North Indian, Continental, Chinese, Italian, Thai, Mughlai, North Indian, North Indian, Mughlai, American, Fast Food, Mughlai, North Indian, North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese, Fast Food, Burger, Goan, Seafood, Cafe, North Indian, Italian, Japanese, Fast Food, European, Chinese, North Indian, Italian, Fast Food, Burger, Fast Food, Burger, Arabian, Mexican, Bengali, South Indian, North Indian, Mughlai, North Indian, Mughlai, North Indian, Mughlai, Chinese, Portuguese, African, North Indian, Fast Food, North Indian, Italian, Chinese, Mexican, North Indian, Chinese, Mughlai, Italian, North Indian, Chinese, Mughlai, North Indian, Mughlai, Italian, Pizza, Fast Food, North Indian, Chinese, Continental, Chinese, Italian, Continental, North Indian, North Indian, Mughlai, Finger Food, European, North Indian, Gujarati, Rajasthani, Continental, American, Tex-Mex, North Indian, Pizza, Italian, Beverages, Fast Food, South Indian, Mughlai, North Indian, Chinese, Cafe, American, Fast Food, Salad, Healthy Food, Finger Food, North Indian, Continental, Italian, Chinese, Thai, North Indian, Continental, Finger Food, Finger Food, North Indian, Italian, Italian, Mediterranean, Continental, North Indian, North Indian, Mediterranean, Asian, North Indian, Continental, Fast Food, Fast Food, North Indian, Mediterranean, Asian, Continental, North Indian, Mughlai, American, Continental, Italian, North Indian, Asian, North Indian, Mughlai, Chinese, Japanese, Italian, Seafood, Lebanese, Mediterranean, Middle Eastern, Arabian, North Indian, Italian, Asian, American, North Indian, Chinese, Italian, Continental, North Indian, Chinese, Continental, Italian, North Indian, Chinese, Biryani, North Indian, Hyderabadi, Biryani, Hyderabadi, North Indian, Chinese, Italian, American, Middle Eastern, Continental, North Indian, Chinese, Mediterranean, Chinese, Modern Indian, Japanese, Healthy Food, Continental, Italian, North Indian, Mediterranean, Asian, Fast Food, Continental, Mediterranean, Italian, North Indian, Fast Food, American, Burger, Continental, American, Asian, North Indian, Italian, Mexican, Continental, North Indian, Finger Food, Asian, North Indian, South Indian, Continental, Mexican, Burger, American, Pizza, Tex-Mex, Cafe, North Indian, European, North Indian, Afghani, Mughlai, Continental, North Indian, Italian, Asian, North Indian, European, Asian, Mediterranean, North Indian, Continental, Bakery, Desserts, Fast Food, Bakery, Fast Food, Desserts, North Indian, Chinese, Italian, Continental",3.77983193277311,"Average, Excellent, Good, Very Good",128107,0,Indian Restaurant,Café,Chinese Restaurant,Bar,Coffee Shop,BBQ Joint,Clothing Store,Pub,Deli / Bodega,Lounge
32,"Crescent Square Mall, Rohini",28.71835085,77.12499027499999,4,"North Indian, Chinese, North Indian, Chinese, Continental, Italian, Fast Food, Burger",3.1500000000000004,"Average, Good",494,0,Pharmacy,American Restaurant,Optical Shop,Clothing Store,Dumpling Restaurant,Eastern European Restaurant,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
34,"Crowne Plaza Hotel, Rohini",28.720601799999997,77.1104484,2,"Finger Food, Bakery, Desserts, Fast Food",3.6,Good,119,0,Asian Restaurant,Light Rail Station,Shopping Mall,Fast Food Restaurant,Hotel,Theme Park,Clothing Store,Fried Chicken Joint,French Restaurant,Food
37,"DDA Market, Kalu Sarai, Hauz Khas",28.5419032,77.20389109999999,1,"Bakery, Fast Food",3.0,Average,4,0,Metro Station,Event Space,Coffee Shop,Nightclub,Chinese Restaurant,Women's Store,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
38,"DLF City Centre Mall, Shalimar Bagh",28.702960675000003,77.158226425,4,"Cafe, Pizza, Fast Food, Ice Cream, Fast Food, Burger",3.225,"Average, Good",168,0,Shopping Mall,Vegetarian / Vegan Restaurant,Convenience Store,Multiplex,Gym / Fitness Center,Women's Store,Food & Drink Shop,Garden,Gaming Cafe,Furniture / Home Store
39,"DLF Emporio Mall, Vasant Kunj",28.543268695000002,77.15692240999999,2,"Cafe, Continental, Thai, Chinese, Asian, Malaysian",3.65,Good,201,0,Coffee Shop,Italian Restaurant,Fast Food Restaurant,Clothing Store,Shopping Mall,Asian Restaurant,Café,Indian Restaurant,Chinese Restaurant,Bar
40,"DLF Place Mall, Saket",28.528657134166664,77.21684957750001,12,"Middle Eastern, Mediterranean, North Indian, North Indian, Fast Food, Lebanese, Mediterranean, Arabian, Burger, Desserts, Fast Food, Bakery, Italian, Chinese, Mexican, Street Food, North Indian, South Indian, Chinese, Mithai, American, Tex-Mex, Finger Food, North Indian, Italian, Italian, Continental, European, Cafe, Desserts, Cafe, Fast Food",3.6999999999999997,"Average, Good, Very Good",5920,0,Indian Restaurant,Café,Clothing Store,Bar,Lounge,Chinese Restaurant,Hotel,Shopping Mall,Donut Shop,Multiplex
41,"DLF Promenade Mall, Vasant Kunj",28.542646656153845,77.15585364,13,"North Indian, Fast Food, Cafe, Tea, Desserts, Cafe, Bakery, Italian, Chinese, Mexican, North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts, Beverages, Desserts, Beverages, Bakery, Desserts, Fast Food, Desserts, Cafe, Finger Food, North Indian, Italian, American, Fast Food, Desserts",3.7615384615384615,"Average, Good, Very Good",1946,0,Coffee Shop,Italian Restaurant,Fast Food Restaurant,Clothing Store,Shopping Mall,Asian Restaurant,Café,Indian Restaurant,Chinese Restaurant,Bar
44,Defence Colony,28.574287764487188,77.23245432474363,78,"Chinese, Japanese, Mithai, Street Food, Cafe, Fast Food, Street Food, North Indian, Chinese, Mughlai, Mughlai, North Indian, Chinese, Bakery, Desserts, North Indian, Mughlai, Bakery, Desserts, North Indian, Bengali, Pizza, Fast Food, North Indian, Mughlai, Bakery, Desserts, Desserts, Ice Cream, Desserts, Ice Cream, Desserts, Raw Meats, North Indian, Fast Food, North Indian, Fast Food, Desserts, Fast Food, Chinese, Mithai, Street Food, North Indian, Mughlai, Continental, Chinese, North Indian, Continental, North Indian, Mughlai, North Indian, Chinese, North Indian, Mughlai, North Indian, Mughlai, Chinese, North Indian, Chinese, Mughlai, Bakery, Fast Food, North Indian, North Indian, Mughlai, Chinese, Italian, Chinese, Thai, Cafe, Italian, Bakery, Desserts, Fast Food, Lebanese, Arabian, Ice Cream, Cafe, Italian, Chinese, Mughlai, Fast Food, Desserts, North Indian, Mughlai, Chinese, Biryani, North Indian, Mughlai, Continental, American, Asian, North Indian, Fast Food, Turkish, Chinese, Thai, Burger, Fast Food, North Indian, Mughlai, North Indian, Continental, Chinese, Italian, Bakery, Desserts, North Indian, Mughlai, Kashmiri, Chinese, Japanese, Thai, Seafood, Continental, European, Italian, North Indian, Mughlai, Chinese, North Indian, Fast Food, Italian, Pizza, Cafe, Bakery, North Indian, Chinese, American, Fast Food, Salad, Healthy Food, North Indian, Chinese, South Indian, Seafood, Chettinad, North Indian, Chinese, Continental, North Indian, Mughlai, Italian, French, Cafe, Continental, Italian, Bakery, Fast Food, North Indian, Mughlai, Modern Indian, Cafe, Healthy Food, Continental, Rajasthani, Ice Cream, Continental, Asian, Sushi, North Indian, Hyderabadi, Kashmiri, Chinese, South Indian, North Indian, Chinese, North Indian, Chinese, Bakery, Desserts",3.496153846153846,"Average, Good, Poor, Very Good",15579,0,Italian Restaurant,Indian Restaurant,Bakery,Coffee Shop,Sandwich Place,Café,South Indian Restaurant,Restaurant,Bar,Food Truck
45,Delhi University-GTB Nagar,28.69680169962964,77.20512014351851,54,"North Indian, Cafe, North Indian, Chinese, Cafe, North Indian, Chinese, Cafe, Continental, Chinese, Cafe, Cafe, North Indian, South Indian, Chinese, Street Food, Fast Food, Pizza, Fast Food, Bakery, Desserts, North Indian, Fast Food, Chinese, North Indian, Chinese, Raw Meats, North Indian, Fast Food, Bakery, Fast Food, Chinese, Continental, North Indian, Mithai, North Indian, North Indian, Korean, North Indian, Chinese, Fast Food, Mughlai, North Indian, Mughlai, Chinese, Italian, Pizza, Fast Food, Chinese, Finger Food, North Indian, Italian, Fast Food, Bakery, Fast Food, North Indian, Chinese, South Indian, Fast Food, Chinese, Beverages, North Indian, Chinese, North Indian, Chinese, Mughlai, South Indian, Fast Food, Chinese, North Indian, Chinese, Fast Food, Cafe, Continental, Chinese, Italian, Bakery, Fast Food, Bakery, Ice Cream, Desserts, North Indian, Chinese, Cafe, North Indian, Continental, Chinese, Italian, Lebanese, Chinese, North Indian, Fast Food, Italian, Cafe, Chinese, Italian, North Indian, Chinese, Cafe, Fast Food, Italian, Chinese, South Indian, North Indian, Chinese, Italian, Pizza, Bakery, Cafe, North Indian, Chinese, Cafe, Ice Cream, Desserts, Beverages, Cafe, Mexican, American, Italian, Lebanese, Continental, Cafe, Italian, Continental, Chinese, Cafe, Italian, Continental",3.2962962962962963,"Average, Excellent, Good, Poor, Very Good",19479,0,Restaurant,Café,Italian Restaurant,Light Rail Station,Fast Food Restaurant,Coffee Shop,Chinese Restaurant,Pizza Place,Hotel Pool,Furniture / Home Store
47,Dilshad Garden,28.681582334687498,77.31929349031252,32,"Mithai, Street Food, North Indian, Mughlai, Chinese, Mughlai, North Indian, Healthy Food, North Indian, Chinese, Fast Food, North Indian, North Indian, Chinese, Mughlai, North Indian, Pizza, Fast Food, North Indian, Fast Food, Beverages, South Indian, North Indian, North Indian, Fast Food, Burger, South Indian, North Indian, Chinese, Continental, Pizza, Fast Food, North Indian, South Indian, Raw Meats, Fast Food, North Indian, Chinese, North Indian, Mughlai, Fast Food, North Indian, South Indian, Chinese, South Indian, Mughlai, Bakery, Fast Food, Chinese, North Indian, Chinese, North Indian, Chinese, North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts, Italian, Pizza, Fast Food, Italian, Pizza, Bakery",3.046874999999999,"Average, Good, Poor",1224,0,Juice Bar,Gym,Market,Women's Store,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
54,Essex Farms,28.543798266666666,77.20159283333334,3,"Bakery, Desserts, Fast Food, North Indian, Chinese, Continental, Seafood, Mediterranean, Continental, Italian",3.5,"Average, Good",502,0,Metro Station,Event Space,Coffee Shop,Nightclub,Women's Store,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
58,"Garden of Five Senses, Saket",28.51423729,77.19707139,1,"European, Italian, North Indian",4.2,Very Good,1561,0,Italian Restaurant,Pub,Garden,Café,Restaurant,Coffee Shop,Asian Restaurant,English Restaurant,Electronics Store,Dog Run
59,Geeta Colony,28.65488263923077,77.27365217692306,13,"Ice Cream, North Indian, Chinese, North Indian, Mughlai, Chinese, Chinese, South Indian, Fast Food, North Indian, Ice Cream, Fast Food, Beverages, North Indian, South Indian, Chinese, Fast Food, North Indian, Mughlai, North Indian, Chinese, North Indian",3.0538461538461537,"Average, Good",262,0,Burger Joint,Women's Store,Food & Drink Shop,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
62,Greater Kailash (GK) 1,28.5503187828125,77.23677051890625,64,"European, Sushi, Italian, Cafe, Fast Food, Mughlai, North Indian, Fast Food, Beverages, Chinese, South Indian, Fast Food, Chinese, Thai, North Indian, Fast Food, Continental, Kashmiri, Chinese, Mughlai, American, Fast Food, Salad, Healthy Food, North Indian, Continental, Chinese, Healthy Food, Fast Food, North Indian, Continental, Fast Food, Bakery, Desserts, Burger, American, Fast Food, Italian, Pizza, Pizza, Italian, Ice Cream, Bakery, Desserts, Bakery, Desserts, Fast Food, Burger, American, Fast Food, Cafe, European, Italian, Cafe, Italian, Lebanese, Healthy Food, Continental, American, Fast Food, Desserts, Chinese, Fast Food, Turkish, North Indian, Continental, Italian, Finger Food, Desserts, Bakery, Desserts, North Indian, Continental, Fast Food, American, Italian, Mexican, Italian, American, North Indian, Mughlai, British, Chinese, Italian, Desserts, North Indian, Mughlai, Street Food, Burmese, Chinese, Japanese, Malaysian, Thai, Cafe, Thai, Bakery, Desserts, Continental, North Indian, Asian, Fast Food, South Indian, Cafe, American, Mexican, Finger Food, Bakery, Desserts, Continental, Chinese, Thai, European, Asian, North Indian, Italian, Continental, Pizza, Asian, Chinese, Thai, Nepalese, Chinese, Thai, Japanese, Healthy Food, Asian, Continental, Italian, Cafe, Italian, Continental, Fast Food, North Indian, Mughlai, Italian, Desserts, Fast Food, North Indian, Continental, Bakery, Desserts",3.7015624999999996,"Average, Excellent, Good, Very Good",10511,0,Café,Indian Restaurant,Market,Bistro,Bookstore,Bakery,Coffee Shop,Restaurant,Australian Restaurant,Flea Market
63,Greater Kailash (GK) 2,28.535530833030297,77.24191067712121,66,"Bakery, Desserts, North Indian, Bakery, Desserts, Fast Food, Cafe, Fast Food, Continental, Bakery, Fast Food, North Indian, Chinese, Continental, Italian, Chinese, Thai, Seafood, Pizza, Fast Food, Desserts, Bakery, Mithai, Street Food, Bakery, Desserts, Ice Cream, North Indian, North Indian, Chinese, Continental, North Indian, Mughlai, Bakery, North Indian, Italian, Chinese, Chinese, Thai, North Indian, Mughlai, Chinese, Fast Food, South Indian, North Indian, Ice Cream, American, Fast Food, Salad, Healthy Food, Finger Food, North Indian, Italian, Modern Indian, Italian, Bakery, Desserts, North Indian, Biryani, Chinese, Thai, Fast Food, North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai, Cafe, Tea, Chinese, Bakery, Desserts, Fast Food, Desserts, Cafe, North Indian, Bengali, Chinese, Thai, Bakery, Fast Food, Italian, Continental, Italian, American, Italian, Mughlai, North Indian, Ice Cream, Desserts, Chinese, Asian, Thai, Chinese, North Indian, Mughlai, Ice Cream, Desserts, Pizza, Fast Food, Desserts, Ice Cream, North Indian, Healthy Food, Continental, Juices, Salad, Bakery, Desserts, Fast Food, Cafe, North Indian, Chinese, South Indian, Seafood, Chettinad, Healthy Food, Mexican, Continental, North Indian, Italian, Tibetan, Nepalese, North Indian, Continental, Chinese, Lebanese, Chinese, Fast Food, Italian, Turkish, Mediterranean, Middle Eastern, South Indian, North Indian, Italian, Continental, North Indian, Mughlai, Sushi, Continental, Bakery, Desserts",3.5530303030303023,"Average, Excellent, Good, Poor, Very Good",13894,0,Indian Restaurant,Restaurant,Café,Sandwich Place,Italian Restaurant,Asian Restaurant,Coffee Shop,Chinese Restaurant,Bakery,Pizza Place
64,Greater Kailash (GK) 3,28.538014079999996,77.23539597499999,4,"Cafe, North Indian, Mughlai, North Indian, Mediterranean, Continental, Bakery, Desserts",3.475,"Average, Good",369,0,Café,Restaurant,Trail,Food Court,Asian Restaurant,Chinese Restaurant,Hotel,Bakery,BBQ Joint,Sandwich Place
67,Hauz Khas,28.554545041071428,77.20736799107142,56,"Fast Food, Bakery, European, Continental, American, Cafe, Cafe, Bakery, Fast Food, American, Fast Food, Street Food, North Indian, Mughlai, Chinese, Chinese, South Indian, Ice Cream, Desserts, North Indian, Biryani, Mughlai, Raw Meats, North Indian, Fast Food, Chinese, North Indian, Chinese, Mughlai, North Indian, Chinese, Fast Food, North Indian, Continental, Fast Food, Bengali, Mughlai, Fast Food, North Indian, Bakery, Desserts, Chinese, Ice Cream, Desserts, North Indian, Mughlai, Chinese, North Indian, North Indian, Chinese, Chinese, Biryani, North Indian, Bakery, Desserts, Fast Food, South Indian, North Indian, Chinese, Fast Food, American, Fast Food, Salad, Healthy Food, Chinese, Fast Food, Fast Food, North Indian, Fast Food, Burger, North Indian, Mughlai, Chinese, Ice Cream, Cafe, Fast Food, North Indian, Cafe, Naga, Ice Cream, Bakery, Bakery, Desserts, Fast Food, Beverages, Continental, Cafe, South Indian, South Indian, Chinese, South Indian, Kerala, North Indian, Continental, Asian, Italian, Desserts, Fast Food, Vietnamese, Italian, Continental",3.251785714285714,"Average, Excellent, Good, Very Good",5479,0,Coffee Shop,Indian Restaurant,Dessert Shop,Chinese Restaurant,Asian Restaurant,Comedy Club,Restaurant,Salon / Barbershop,Sandwich Place,Burger Joint
68,Hauz Khas Village,28.554274574999997,77.1946371,24,"Italian, North Indian, Continental, Continental, American, Italian, North Indian, Italian, Continental, Chinese, Chinese, Continental, Kerala, Cafe, Tea, Continental, American, Italian, Bakery, Continental, Asian, Italian, Mediterranean, Burger, American, Continental, North Indian, Chinese, Mediterranean, Italian, Continental, Spanish, North Indian, Cafe, Desserts, Continental, Tex-Mex, North Indian, Chinese, Thai, Italian, Middle Eastern, Continental, Italian, Pizza, Fast Food, American, North Indian, European, Asian, Continental, Italian, Continental, American, Asian, North Indian, Cafe, European, Chinese, North Indian, Italian, American, British, Continental, South Indian, North Indian, European, Italian, Cafe",3.8458333333333337,"Average, Excellent, Good, Very Good",32573,0,Indian Restaurant,Café,Restaurant,Bar,Italian Restaurant,Coffee Shop,Mediterranean Restaurant,Lounge,American Restaurant,Art Gallery
75,"Hyatt Regency, Bhikaji Cama Place",28.56904,77.185331,6,"Cafe, Continental, North Indian, Italian, Finger Food, Bakery, Cafe, Japanese, Thai, Sushi, Chinese",3.7999999999999994,"Good, Very Good",1513,0,Lounge,Italian Restaurant,Gym / Fitness Center,Market,Asian Restaurant,Chinese Restaurant,Hotel,Modern European Restaurant,Café,Breakfast Spot
78,"ITC Maurya, Chanakyapuri",28.5976654,77.17353771666667,6,"Finger Food, Bakery, Desserts, Desserts, Ice Cream, Drinks Only, North Indian, Asian, Japanese, Korean, Thai, Chinese",3.733333333333333,"Average, Good, Very Good",3121,0,Indian Restaurant,Hotel,Café,Chinese Restaurant,North Indian Restaurant,Bistro,Restaurant,College Gym,Pool,Diner
79,ITO,28.631929873333334,77.24042434666666,3,"North Indian, Fast Food, Burger, South Indian, Chinese",3.3000000000000003,"Average, Good",168,0,Performing Arts Venue,Café,Historic Site,Art Museum,Fast Food Restaurant,Clothing Store,Udupi Restaurant,Plaza,Furniture / Home Store,Frozen Yogurt Shop
80,India Gate,28.6116139,77.20989483333334,3,"South Indian, North Indian, Chinese, Mughlai, South Indian, North Indian, Maharashtrian",3.366666666666667,"Average, Good",291,0,Government Building,Music Venue,National Park,Light Rail Station,Women's Store,Food & Drink Shop,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
81,"JMD Kohinoor Mall, Greater Kailash",28.5366115,77.23853566,5,"Fast Food, Chinese, Thai, Beverages, North Indian, Mughlai, Ice Cream",3.38,"Average, Excellent",883,0,Restaurant,Café,Ice Cream Shop,Pizza Place,Italian Restaurant,French Restaurant,Food Court,BBQ Joint,Asian Restaurant,Chinese Restaurant
