,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
130,"Metro Walk Mall, Rohini",28.7241003,77.11365373333335,3,"Fast Food, Burger, North Indian, Mughlai, Chinese, Italian, Pizza, Fast Food",3.133333333333333,Average,325,4,Pizza Place,Theme Park,Asian Restaurant,Fast Food Restaurant,Shopping Mall,Donut Shop,Dumpling Restaurant,Garden Center,Garden,Gaming Cafe
132,Model Town 2,28.706295056,77.190583248,25,"Fast Food, Fast Food, Beverages, Mithai, Pizza, Fast Food, Ice Cream, Desserts, North Indian, Chinese, Fast Food, North Indian, Mughlai, Chinese, Salad, Healthy Food, Burger, Italian, Continental, Chinese, North Indian, Beverages, Chinese, Chinese, North Indian, Mughlai, Chinese, Beverages, Mithai, South Indian, North Indian, Chinese, Fast Food, Street Food, American, Fast Food, Salad, Healthy Food, Chinese, Street Food, Desserts, North Indian, Fast Food, Street Food, Bakery, Fast Food, Burger, Pizza, Bakery, Fast Food, North Indian, Chinese, Continental, Italian",3.256,"Average, Good, Very Good",1717,4,Pizza Place,Donut Shop,Ice Cream Shop,Frozen Yogurt Shop,Coffee Shop,Fast Food Restaurant,Food,Garden Center,Garden,Gaming Cafe
136,Moti Nagar,28.658244285000002,77.14090729,20,"North Indian, North Indian, Fast Food, Fast Food, Burger, Chinese, North Indian, Street Food, North Indian, Mughlai, Ice Cream, North Indian, Mughlai, Bakery, Fast Food, North Indian, North Indian, Mughlai, Fast Food, North Indian, Chinese, Fast Food, Bakery, Desserts, North Indian, Fast Food, Street Food, North Indian, Chinese, Fast Food, Ice Cream, Seafood, North Indian, South Indian",3.2399999999999998,"Average, Good",567,4,Metro Station,Fried Chicken Joint,Fast Food Restaurant,Flea Market,Women's Store,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
138,Munirka,28.556145049999998,77.17273141818183,22,"Biryani, North Indian, Fast Food, Street Food, Chinese, Raw Meats, North Indian, Fast Food, Chinese, Fast Food, North Eastern, North Indian, Chinese, North Indian, North Indian, Mughlai, Chinese, Mithai, Street Food, Cafe, Fast Food, Pizza, Fast Food, North Indian, Mughlai, Chinese, South Indian, North Indian, Fast Food, American, Fast Food, Salad, Healthy Food, Chinese, North Indian, Chinese, Chinese, Thai, Chinese, North Indian, Bakery, Desserts, North Indian, Chinese",3.0409090909090906,"Average, Good, Poor",637,4,Playground,Bakery,Department Store,Sandwich Place,Pharmacy,Pizza Place,Indian Restaurant,Hyderabadi Restaurant,Falafel Restaurant,Fried Chicken Joint
141,Nehru Place,28.549168615999992,77.25165987199999,25,"North Indian, Mughlai, American, Tex-Mex, Italian, Mexican, North Indian, North Indian, Mithai, North Indian, Street Food, Chinese, South Indian, Indian, Cafe, Cafe, Ice Cream, Beverages, Fast Food, Pizza, Fast Food, North Indian, Street Food, North Indian, North Indian, Street Food, Fast Food, North Indian, South Indian, Chinese, North Indian, Chinese, North Indian, South Indian, Fast Food, South Indian, North Indian, Chinese, Finger Food, Italian, Middle Eastern, Fast Food, Burger, North Indian, Italian, Pizza, Fast Food, South Indian, North Indian, Chinese, American, Fast Food, Salad, Healthy Food, North Indian, Mughlai, Bengali, Seafood",3.196,"Average, Good, Poor, Very Good",2715,4,Indian Restaurant,Fast Food Restaurant,Coffee Shop,Pizza Place,Chinese Restaurant,Bengali Restaurant,Park,Gastropub,Frozen Yogurt Shop,Sandwich Place
142,Netaji Subhash Place,28.693269644680857,77.15037760425531,47,"Finger Food, North Indian, North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai, Cafe, Fast Food, Italian, Pizza, Desserts, North Indian, Fast Food, South Indian, Chinese, Pizza, Fast Food, North Indian, Mughlai, Fast Food, Beverages, North Indian, South Indian, Fast Food, Burger, Fast Food, North Indian, Mughlai, Italian, Pizza, Fast Food, North Indian, Fast Food, Chinese, Fast Food, North Indian, Chinese, Cafe, Chinese, American, Fast Food, Salad, Healthy Food, North Indian, Italian, Chinese, Thai, Fast Food, Chinese, Street Food, Burger, Fast Food, Cafe, Fast Food, Chinese, Fast Food, Ice Cream, Desserts, Fast Food, North Indian, Beverages, Fast Food, Burger, Chinese, Desserts, Beverages, North Indian, Chinese, Chinese, Fast Food, North Indian, Chinese, Street Food, Fast Food, Beverages, Fast Food, Beverages, Cafe, Cafe, North Indian, Bakery, North Indian, Chinese, North Indian, Chinese, Continental, Cafe, Tea, North Indian, Chinese, Italian, Mexican, Lebanese, North Indian, Chinese, Italian, Lebanese, Mexican",3.5191489361702115,"Average, Good, Very Good",7642,4,Fast Food Restaurant,Indian Restaurant,Coffee Shop,Shopping Mall,Multiplex,Asian Restaurant,Arts & Crafts Store,Sandwich Place,Snack Place,Diner
155,Paschim Vihar,28.669159867499996,77.0990075092857,56,"Fast Food, Pizza, Fast Food, Chinese, North Indian, Bakery, Fast Food, Cafe, Bakery, North Indian, Mughlai, Chinese, Ice Cream, Desserts, Bakery, Chinese, Fast Food, Pizza, Pizza, Fast Food, Raw Meats, North Indian, Fast Food, Fast Food, Italian, Pizza, Mithai, Street Food, Chinese, Thai, Fast Food, North Indian, North Indian, North Indian, North Indian, Chinese, Fast Food, Fast Food, Burger, South Indian, South Indian, Fast Food, North Indian, Pizza, Fast Food, Italian, Pizza, Fast Food, Fast Food, Bakery, Desserts, Fast Food, North Indian, South Indian, Chinese, North Indian, Chinese, Desserts, Fast Food, Chinese, North Indian, Chinese, Street Food, North Indian, Mughlai, South Indian, Chinese, South Indian, Chinese, South Indian, North Indian, Chinese, Chinese, Chinese, Fast Food, North Indian, Chinese, Fast Food, Mughlai, Biryani, North Indian, North Indian, Fast Food, Street Food, North Indian, Mughlai, North Indian, Mughlai, North Indian, Street Food, Fast Food, Bakery, Fast Food, North Indian, Chinese, Fast Food, Biryani, North Indian, Chinese, Fast Food, North Indian, Chinese, Mughlai, American, Fast Food, Salad, Healthy Food",3.148214285714286,"Average, Good, Poor",2735,4,Pizza Place,Coffee Shop,Sandwich Place,Chinese Restaurant,Garden,Market,Multicuisine Indian Restaurant,Indian Restaurant,Discount Store,Gaming Cafe
157,"Piccadily Hotel, Janakpuri",28.6295053,77.079438,1,"North Indian, Kashmiri, Mughlai",2.6,Average,67,4,Indian Restaurant,Fast Food Restaurant,Sandwich Place,Chinese Restaurant,Hotel,Pizza Place,BBQ Joint,Business Center,Music Store,Coffee Shop
158,Pitampura,28.700027157066664,77.13689081800001,75,"North Indian, Chinese, Seafood, Chinese, North Indian, Bakery, North Indian, Chinese, North Indian, Mughlai, Continental, Italian, North Indian, Lebanese, Street Food, South Indian, North Indian, North Indian, South Indian, Chinese, Fast Food, North Indian, Mughlai, Chinese, North Indian, Mughlai, North Indian, Mughlai, Chinese, North Indian, Chinese, Continental, Thai, Bakery, Fast Food, Chinese, Pizza, Fast Food, Pizza, Fast Food, Chinese, Fast Food, North Indian, Chinese, Ice Cream, Desserts, Ice Cream, Desserts, Mithai, Street Food, Ice Cream, Desserts, North Indian, Mughlai, Ice Cream, Desserts, Desserts, Bakery, Fast Food, Fast Food, Burger, North Indian, Mughlai, Fast Food, North Indian, Chinese, Chinese, Fast Food, Chinese, Fast Food, Chinese, Italian, Continental, North Indian, Chinese, North Indian, Chinese, North Indian, Mughlai, Chinese, North Indian, Chinese, North Indian, Chinese, Italian, North Indian, Mughlai, North Indian, Mughlai, Chinese, North Indian, Fast Food, North Indian, Mughlai, Cafe, North Indian, Chinese, American, Fast Food, Salad, Healthy Food, North Indian, Continental, Chinese, Bakery, Desserts, Bakery, Fast Food, Chinese, North Indian, Chinese, Fast Food, Fast Food, Street Food, North Indian, North Indian, Chinese, Fast Food, Bakery, Desserts, Fast Food, Mithai, Mithai, Street Food, South Indian, Chinese, Raw Meats, North Indian, Fast Food, Hyderabadi, Fast Food, Continental, North Indian, Mughlai, North Indian, Chinese, Fast Food, Healthy Food, Bakery, Street Food, North Indian, Bakery, Fast Food, Bakery, Chinese, Beverages, North Indian, Biryani, Chinese, Fast Food, Street Food, Chinese, North Indian, Mithai, South Indian, Street Food, Chinese, South Indian, North Indian, Chinese",3.1573333333333333,"Average, Good, Poor",3974,4,Gym,Snack Place,Ice Cream Shop,Fast Food Restaurant,Mobile Phone Shop,Market,Women's Store,Food Court,Garden Center,Garden
161,Preet Vihar,28.639872254137934,77.29402159379312,29,"Asian, North Indian, Japanese, North Indian, Mughlai, North Indian, South Indian, Fast Food, Street Food, Chinese, Mithai, North Indian, Mughlai, Chinese, North Indian, Continental, Mughlai, Pizza, Fast Food, Ice Cream, Desserts, Mithai, Street Food, Raw Meats, North Indian, Fast Food, Street Food, Mughlai, North Indian, Mughlai, North Indian, Chinese, North Indian, Mughlai, North Indian, North Indian, Chinese, Mughlai, North Indian, Chinese, Desserts, Ice Cream, Bakery, Bakery, Mithai, Street Food, North Indian, Mughlai, Chinese, South Indian, North Indian, Chinese, North Indian, North Indian, Chinese, Fast Food, North Indian, Mughlai, Chinese, Bakery, Desserts, Fast Food, Cafe, Chinese, North Indian",3.13448275862069,"Average, Good, Poor",1481,4,BBQ Joint,Pizza Place,Ice Cream Shop,Arcade,Fast Food Restaurant,Chinese Restaurant,Women's Store,Garden Center,Garden,Gaming Cafe
