,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
146,Okhla Phase 2,28.535039625,77.278699725,4,"North Indian, Mughlai, North Indian, Chinese, North Indian, Fast Food, Bakery, Desserts",3.175,"Average, Good",60,3,Health & Beauty Service,Mobile Phone Shop,Women's Store,Golf Course,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
232,Vivek Vihar,28.667343552727278,77.3097141759091,22,"Chinese, Mithai, Bakery, Desserts, Fast Food, Pizza, Burger, Finger Food, North Indian, Chinese, Healthy Food, Fast Food, Chinese, North Indian, Chinese, Fast Food, Cafe, North Indian, Continental, Bakery, Fast Food, Bakery, Fast Food, Chinese, Fast Food, Bakery, South Indian, North Indian, North Indian, Chinese, Cafe, Italian, Chinese, North Indian, Chinese, North Indian, North Indian, Chinese, Chinese, Fast Food, North Indian, South Indian, Street Food, Mithai, North Indian, Chinese, Bakery, North Indian, Chinese",3.0772727272727276,"Average, Good, Poor",939,3,Juice Bar,Gift Shop,Department Store,Bed & Breakfast,Athletics & Sports,Food & Drink Shop,Gastropub,Garden Center,Garden,Gaming Cafe
