,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
46,"Dilli Haat, INA",28.573241285,77.206606285,20,"Assamese, Chinese, North Indian, Mughlai, South Indian, Goan, North Indian, Chinese, South Indian, Oriya, Rajasthani, North Indian, Chinese, Kashmiri, Chinese, North Indian, Fast Food, Bihari, Bengali, North Indian, Chinese, Maharashtrian, Chinese, Fast Food, Chinese, Desserts, Ice Cream, North Indian, Chinese, Naga, North Indian, Chinese, Tibetan, North Indian",3.225,"Average, Good, Poor",1106,1,Indian Restaurant,Train Station,Restaurant,Market,Women's Store,Flea Market,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
48,"District Centre, Janakpuri",28.630149216666666,77.08115156666666,6,"North Indian, Chinese, Fast Food, North Indian, Chinese, Fast Food, Mexican, North Indian, European, Chinese, Italian, Bakery, Fast Food, North Indian, Chinese",2.9499999999999997,"Average, Good, Poor",471,1,Indian Restaurant,Chinese Restaurant,Sandwich Place,Coffee Shop,Light Rail Station,Restaurant,Gym / Fitness Center,Fast Food Restaurant,Hotel,Business Center
49,Dr. Zakir Hussain Marg,28.602169300000003,77.2374755,1,"Fast Food, North Indian",2.9,Average,7,1,Indian Restaurant,Italian Restaurant,Golf Course,Convenience Store,North Indian Restaurant,Café,Gaming Cafe,Snack Place,Hotel Pool,Hotel Bar
55,Feroze Shah Road,28.617101899999998,77.225522,1,"South Indian, Andhra",4.2,Very Good,3010,1,Indian Restaurant,Women's Store,Flea Market,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant
61,"Gourmet Hub, Pashim Vihar",28.6681812,77.1120546,1,"Burger, Fast Food",3.4,Average,33,1,Pizza Place,Indian Restaurant,Ice Cream Shop,Bakery,Food & Drink Shop,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
65,Green Park,28.556979548275873,77.20447905862069,29,"Ice Cream, Biryani, Cafe, Chinese, Thai, Seafood, Pizza, Fast Food, North Indian, Fast Food, North Indian, Mughlai, North Indian, South Indian, Mexican, Pizza, Fast Food, Italian, Pizza, Fast Food, North Indian, Chinese, Italian, North Indian, North Indian, Mughlai, North Indian, Continental, Chinese, South Indian, North Indian, Street Food, Chinese, Mithai, Chinese, Seafood, Thai, Burger, Desserts, Fast Food, South Indian, North Indian, Chinese, Fast Food, Street Food, Mithai, Korean, Beverages, Bakery, Desserts, Fast Food, Chinese, Thai, Seafood, Naga, Cafe, Japanese, Cafe, North Indian, Mughlai, Chinese, Chinese, Fast Food",3.272413793103448,"Average, Good, Poor",5243,1,Indian Restaurant,Coffee Shop,Chinese Restaurant,Pizza Place,Donut Shop,Hotel,Dessert Shop,Market,Asian Restaurant,Bar
66,Gujranwala Town,28.699372886956525,77.18994762173912,23,"North Indian, Chinese, North Indian, Chinese, North Indian, Mughlai, Mithai, Mithai, Street Food, North Indian, South Indian, Chinese, Fast Food, Beverages, North Indian, Mughlai, Ice Cream, Desserts, Mughlai, North Indian, Chinese, North Indian, Chinese, Fast Food, Chinese, North Indian, Mughlai, North Indian, Chinese, North Indian, Bakery, North Indian, Mughlai, Bakery, Desserts, Fast Food, Fast Food, Street Food, Fast Food, Italian, Fast Food, Fast Food, Mughlai",3.252173913043478,"Average, Good",973,1,Snack Place,Gym,Shopping Mall,Motorcycle Shop,Smoke Shop,Indian Restaurant,Donut Shop,Food Truck,Discount Store,Garden Center
71,"Hotel Broadway, Daryaganj",28.641002999999998,77.23791080000001,2,"Finger Food, North Indian, Kashmiri, Chinese, Thai, Korean",3.65,"Average, Good",367,1,Indian Restaurant,Hostel,Movie Theater,Soccer Stadium,Asian Restaurant,Hotel,Road,Furniture / Home Store,Food & Drink Shop,Fried Chicken Joint
76,INA,28.576784933333332,77.20982533333331,3,"Bakery, Desserts, North Indian, Mughlai, Chinese, South Indian, Kerala, Biryani",3.1999999999999997,"Average, Good",143,1,Market,Light Rail Station,Indian Restaurant,Dim Sum Restaurant,Train Station,Spa,Food & Drink Shop,Food Court,Food Truck,French Restaurant
77,IP Extension,28.631728332142853,77.30394537142857,28,"North Indian, Chinese, North Indian, Mughlai, Chinese, North Indian, Chinese, North Indian, Continental, South Indian, Fast Food, Desserts, Bakery, Street Food, Bakery, Fast Food, Chinese, North Indian, Chinese, North Indian, South Indian, Chinese, Fast Food, North Indian, Chinese, South Indian, Mithai, Street Food, North Indian, Fast Food, Chinese, North Indian, Mughlai, Chinese, North Indian, Chinese, Bakery, North Indian, North Indian, Mughlai, Mithai, South Indian, Street Food, Fast Food, Chinese, Desserts, Ice Cream, North Indian, Chinese, Mughlai, Pizza, Fast Food, North Indian, Chinese, South Indian, Street Food, Mithai, Bakery, Desserts",3.060714285714286,"Average, Good, Poor, Very Good",1650,1,Indian Restaurant,Dessert Shop,Market,Food,Café,Shop & Service,Shopping Mall,Gift Shop,Pizza Place,Hotel
82,JNU,28.548370509999998,77.17701204625,8,"Fast Food, North Indian, Fast Food, Mithai, Street Food, North Indian, Chinese, North Indian, Chinese, Fast Food, North Indian, Mughlai, Chinese, North Indian, South Indian",3.1375,"Average, Good, Poor",609,1,Clothing Store,Shopping Mall,Indian Restaurant,Café,Food,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
84,Jail Road,28.630941806000006,77.10046952200003,50,"Fast Food, Fast Food, Chinese, Fast Food, North Indian, Street Food, Cafe, Chinese, Chinese, Mughlai, North Indian, North Indian, North Indian, Desserts, Street Food, Chinese, Bakery, Ice Cream, Desserts, Raw Meats, North Indian, Fast Food, North Indian, Fast Food, Ice Cream, North Indian, Ice Cream, Desserts, North Indian, Chinese, Continental, North Indian, Chinese, Mughlai, Hyderabadi, North Indian, Biryani, North Indian, Desserts, Ice Cream, Chinese, Fast Food, Mughlai, Mithai, Fast Food, North Indian, Mughlai, North Indian, Mughlai, North Indian, Chinese, North Indian, South Indian, North Indian, Chinese, Bakery, North Indian, Chinese, Mexican, Italian, Fast Food, North Indian, North Indian, Mughlai, Chinese, Ice Cream, Fast Food, North Indian, Mughlai, North Indian, Chinese, North Indian, Fast Food, North Indian, Chinese, Continental",3.1219999999999986,"Average, Good, Poor, Very Good",1738,1,Indian Restaurant,Indian Sweet Shop,Bakery,Ice Cream Shop,Pizza Place,Food Court,Fried Chicken Joint,Punjabi Restaurant,Women's Store,Food Truck
85,Jama Masjid,28.648885327777773,77.23403206666669,18,"North Indian, Mughlai, North Indian, Mughlai, Desserts, Beverages, North Indian, Mughlai, Mughlai, Mughlai, Mughlai, Mughlai, North Indian, Mughlai, Biryani, Mughlai, Mithai, Continental, North Indian, Mughlai, Chinese, Desserts, Beverages, Mughlai, Mughlai, North Indian, Mughlai",3.561111111111111,"Average, Good, Very Good",7411,1,Indian Restaurant,Snack Place,Metro Station,Mosque,Flea Market,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
92,Jor Bagh,28.58429443,77.21763119,1,"North Indian, Mughlai",3.1,Average,35,1,Indian Restaurant,Record Shop,Bakery,Metro Station,Women's Store,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
97,Karampura,28.66297212666667,77.14564763,3,"North Indian, North Indian, Street Food",3.533333333333333,"Average, Very Good",293,1,Indian Restaurant,Vegetarian / Vegan Restaurant,Fried Chicken Joint,Moving Target,Women's Store,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
99,Karol Bagh,28.648795340140847,77.1908584387324,71,"South Indian, North Indian, Chinese, Street Food, Fast Food, South Indian, North Indian, North Indian, North Indian, Chinese, North Indian, Chinese, Continental, Italian, Cafe, Chinese, North Indian, Mughlai, Chinese, North Indian, North Indian, Chinese, North Indian, Chinese, Mughlai, Pizza, Fast Food, Ice Cream, Desserts, Ice Cream, Desserts, North Indian, Chinese, Desserts, Mithai, North Indian, Mughlai, Chinese, Fast Food, South Indian, North Indian, South Indian, Chinese, Fast Food, Hyderabadi, North Indian, North Indian, Mughlai, North Indian, South Indian, North Indian, Fast Food, North Indian, South Indian, Chinese, Street Food, Mithai, North Indian, Mughlai, Chinese, North Indian, Mughlai, Chinese, Fast Food, North Indian, Chinese, Mithai, South Indian, Chinese, North Indian, North Indian, Chinese, North Indian, Chinese, North Indian, Chinese, South Indian, South Indian, North Indian, Mughlai, Chinese, North Indian, Chinese, Fast Food, Italian, Chinese, North Indian, South Indian, Chinese, Mughlai, North Indian, Fast Food, European, Italian, Thai, Chinese, North Indian, North Indian, Chinese, Tibetan, Fast Food, Fast Food, Chinese, Bakery, Desserts, Fast Food, North Indian, Mughlai, North Indian, European, South Indian, Fast Food, Cafe, Fast Food, Desserts, Bakery, Mughlai, North Indian, Street Food, North Indian, North Indian, Desserts, Fast Food, North Indian, Chinese, South Indian, North Indian, Mithai, Street Food, American, Fast Food, Salad, Healthy Food, Gujarati, Rajasthani, North Indian, Fast Food, North Indian, Continental, Healthy Food, Chinese, Chinese, Fast Food, Chinese, Fast Food, Cafe, Finger Food, Fast Food, North Indian, Mughlai, Street Food, Continental, North Indian, American, Italian, Mexican",3.238028169014084,"Average, Good, Poor, Very Good",7282,1,Indian Restaurant,Fast Food Restaurant,Hotel,Sandwich Place,Restaurant,BBQ Joint,Coffee Shop,Food & Drink Shop,Bakery,Snack Place
110,Laxmi Nagar,28.635390670961538,77.28159087326922,52,"Pizza, Fast Food, North Indian, Chinese, Fast Food, Mithai, Bakery, North Indian, Fast Food, Chinese, Chinese, Continental, Mexican, Street Food, Cafe, Cafe, North Indian, Chinese, Fast Food, Beverages, North Indian, North Indian, Mithai, Bakery, Fast Food, Beverages, Chinese, Pizza, Fast Food, North Indian, Fast Food, Fast Food, Bakery, Fast Food, Bakery, North Indian, Chinese, Mughlai, Biryani, North Indian, Mughlai, North Indian, Mithai, North Indian, North Indian, Chinese, North Indian, Chinese, North Indian, South Indian, Mithai, Street Food, Pizza, Fast Food, South Indian, Fast Food, South Indian, North Indian, Fast Food, Tea, North Indian, Chinese, Chinese, Fast Food, Chinese, Fast Food, Fast Food, Chinese, North Indian, Biryani, Burger, Fast Food, Street Food, Italian, Pizza, Sushi, Asian, Cafe, Pizza, Mughlai, Fast Food, North Indian, North Indian, South Indian, Street Food, Chinese, Fast Food, Mithai, North Indian, Chinese, Chinese, North Indian, Fast Food, Italian",3.0403846153846152,"Average, Good, Poor, Very Good",2442,1,Snack Place,Indian Restaurant,Pizza Place,Grocery Store,Arcade,Women's Store,Food,Garden,Gaming Cafe,Furniture / Home Store
113,"Living Style Mall, Jasola",28.541242007692308,77.29695460000002,13,"North Indian, Chinese, North Indian, Mughlai, Chinese, Chinese, Thai, North Indian, Street Food, South Indian, Mithai, North Indian, Mughlai, Pizza, Fast Food, North Indian, Mughlai, Chinese, Ice Cream, Street Food, North Indian, Mughlai, Chinese, Bakery, Desserts, Fast Food, North Indian, Mughlai, Chinese, Fast Food, Ice Cream, Desserts",2.984615384615385,Average,817,1,Indian Restaurant,Pizza Place,Soccer Stadium,Bakery,Fast Food Restaurant,Women's Store,Food & Drink Shop,Garden,Gaming Cafe,Furniture / Home Store
116,MG Road,28.4865762,77.1362646,2,"North Indian, Mughlai, North Indian",2.95,Average,8,1,Indian Restaurant,Furniture / Home Store,Art Museum,Women's Store,Food,Gastropub,Garden Center,Garden,Gaming Cafe,Frozen Yogurt Shop
118,"MGM Club, Daryaganj",28.646548600000003,77.242985,1,"North Indian, Chinese",3.2,Average,20,1,Restaurant,Indian Restaurant,Hotel,Road,Women's Store,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant
124,Mathura Road,28.52175981,77.29338784,1,"North Indian, Chinese",4.2,Very Good,278,1,Breakfast Spot,Indian Sweet Shop,Indian Restaurant,Light Rail Station,Food,Gastropub,Garden Center,Garden,Gaming Cafe,Furniture / Home Store
126,Mayur Vihar Phase 1,28.602860035000003,77.296659675,56,"Fast Food, Chinese, North Indian, Mithai, Street Food, North Indian, North Indian, Mughlai, Chinese, North Indian, Desserts, Street Food, Ice Cream, North Indian, Chinese, Mughlai, North Indian, Chinese, North Indian, North Indian, Mughlai, Chinese, Chinese, Bakery, Fast Food, North Indian, Mughlai, Chinese, Fast Food, Chinese, North Indian, Chinese, Bakery, Mithai, Street Food, North Indian, Chinese, Mughlai, Raw Meats, North Indian, Fast Food, North Indian, North Indian, Mughlai, Chinese, Chinese, Fast Food, Biryani, Hyderabadi, North Indian, Chinese, Kerala, Bakery, American, Asian, North Indian, Mexican, South Indian, Street Food, Desserts, Bakery, Fast Food, North Indian, Chinese, North Indian, Street Food, North Indian, North Indian, Chinese, Raw Meats, Fast Food, Fast Food, Bakery, Desserts, Fast Food, Chinese, Fast Food, South Indian, Chinese, South Indian, Chettinad, North Indian, Mughlai, Bakery, Desserts, North Indian, Chinese, Fast Food, Chinese, Asian, Thai, Chinese, North Indian, Chinese, North Indian, South Indian, Fast Food, Pizza, Burger, Cafe, Fast Food, Mexican, North Indian, Street Food, Fast Food, Chinese, South Indian, North Indian, Cafe, North Indian, Chinese, Fast Food, Chinese",2.9732142857142847,"Average, Good, Poor",1831,1,Pizza Place,Garden,Indian Restaurant,Gym / Fitness Center,Food,Garden Center,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
133,Model Town 3,28.708185164444444,77.18480480444445,9,"North Indian, Mughlai, Bakery, North Indian, Chinese, Raw Meats, Fast Food, North Indian, Chinese, Raw Meats, North Indian, Fast Food, Street Food, North Indian, Chinese, Continental, Italian",3.3444444444444446,"Average, Good, Very Good",568,1,Indian Restaurant,Park,Historic Site,Women's Store,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
140,Naraina,28.62795899166666,77.14145132916664,24,"Mithai, North Indian, Mughlai, South Indian, Street Food, Desserts, Cafe, Chinese, Desserts, Bakery, South Indian, North Indian, North Indian, South Indian, Chinese, Chinese, North Indian, Desserts, Ice Cream, Fast Food, Bakery, Raw Meats, North Indian, Fast Food, Fast Food, Street Food, North Indian, Chinese, Fast Food, North Indian, North Indian, North Indian, Continental, European, North Indian, South Indian, Chinese, North Indian, North Indian, North Indian, Mughlai, Awadhi, Fast Food, North Indian",3.0041666666666664,Average,326,1,Snack Place,Pizza Place,Indian Restaurant,Café,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
144,Nizamuddin,28.59109198875,77.24559955000001,8,"Cafe, Italian, Lebanese, Mughlai, North Indian, Fast Food, Bakery, North Indian, Mughlai, Mughlai, Biryani, Mughlai, North Indian, Fast Food, North Indian, South Indian",3.1999999999999997,"Average, Good, Poor",993,1,Indian Restaurant,Mughlai Restaurant,Historic Site,Garden,Pizza Place,Park,Monument / Landmark,BBQ Joint,Gaming Cafe,Furniture / Home Store
153,Pandara Road Market,28.608054600000003,77.22991531000001,10,"Ice Cream, Desserts, Ice Cream, North Indian, Mughlai, Chinese, Chinese, Thai, Japanese, Ice Cream, Desserts, North Indian, Mughlai, Chinese, North Indian, North Indian, North Indian, Mughlai, North Indian",3.8600000000000003,"Average, Good, Very Good",7978,1,Indian Restaurant,Ice Cream Shop,Art Gallery,Food & Drink Shop,Park,Chinese Restaurant,Restaurant,Cafeteria,Smoke Shop,Snack Place
156,Patparganj,28.630733928571427,77.30681972857143,7,"North Indian, Continental, Chinese, Fast Food, Desserts, North Indian, Mughlai, Chinese, Chinese, North Indian, Bakery, Desserts, Fast Food, Bakery, Desserts, Ice Cream, Desserts",3.185714285714286,"Average, Good",244,1,Indian Restaurant,Gift Shop,Market,Dessert Shop,Café,Shopping Mall,Pizza Place,Hyderabadi Restaurant,Fish & Chips Shop,Furniture / Home Store
160,Prashant Vihar,28.712975444444446,77.135121,9,"Chinese, Fast Food, Chinese, Bakery, Desserts, Fast Food, Ice Cream, Desserts, Street Food, Mithai, North Indian, Mughlai, Chinese, Chinese, Chinese, North Indian",3.066666666666667,Average,121,1,Indian Restaurant,Pizza Place,Multiplex,Airport,Flea Market,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
165,Qutab Institutional Area,28.539463916666666,77.18487969333334,3,"North Indian, Fast Food, Pizza, Chinese, North Indian",2.9,Average,14,1,Indian Restaurant,Restaurant,Moroccan Restaurant,Modern European Restaurant,Hotel,Food Truck,Women's Store,Food,Garden,Gaming Cafe
199,Sunder Nagar,28.601778983333332,77.24125838333333,6,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts, Continental, European, North Indian, Bakery, Fast Food, North Indian, Continental, North Indian, European, Asian",3.7000000000000006,"Average, Good, Very Good",964,1,Indian Restaurant,Italian Restaurant,Hotel,Convenience Store,North Indian Restaurant,Café,Gaming Cafe,Golf Course,Snack Place,Hotel Bar
202,Tagore Garden,28.646592590476196,77.11206701714286,21,"Fast Food, Fast Food, Chinese, Pizza, Italian, North Indian, Fast Food, Bakery, North Indian, Chinese, Fast Food, North Indian, Chinese, Fast Food, Bakery, Fast Food, North Indian, Fast Food, North Indian, Continental, Lebanese, North Indian, Chinese, Biryani, North Indian, North Indian, Chinese, Pizza, Fast Food, North Indian",3.2809523809523804,"Average, Good, Very Good",1624,1,Indian Restaurant,Market,Light Rail Station,Food Truck,Gym,Clothing Store,Bakery,BBQ Joint,Garden,Park
204,"The Ashok, Chanakyapuri",28.597038050000005,77.19592085000001,6,"Bakery, Desserts, Continental, North Indian, Chinese, Cafe, North Indian, Mughlai, North Indian, Mediterranean, Italian",3.5333333333333337,"Average, Good, Very Good",902,1,Indian Restaurant,Nightclub,Italian Restaurant,Hotel,Chinese Restaurant,Café,Bus Station,Shopping Mall,Mediterranean Restaurant,Smoke Shop
209,"The Lalit New Delhi, Barakhamba Road",28.631361672500002,77.2275538175,8,"Bakery, Desserts, Cafe, Continental, Finger Food, Continental, North Indian, Italian, Asian, Mughlai, North Indian, South Indian, Finger Food, Chinese, Seafood",3.5375,"Average, Good",1666,1,Indian Restaurant,Bakery,Asian Restaurant,Hotel Bar,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
210,The Leela Ambience Convention Hotel,28.66113333,77.30317778,4,"North Indian, Italian, Finger Food, Thai, North Indian",3.775,"Good, Very Good",460,1,Pizza Place,Shopping Mall,Indian Restaurant,Multiplex,Hotel,Café,Food,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
211,"The Leela Palace, Chanakyapuri",28.579555619999997,77.18888718000001,5,"North Indian, Mughlai, French, Italian, Japanese, Sushi, Italian, Continental, Cafe, Continental",3.7800000000000002,Good,709,1,Indian Restaurant,Cocktail Bar,Hotel,Seafood Restaurant,French Restaurant,Spa,Gym / Fitness Center,Northeast Indian Restaurant,Breakfast Spot,Pool
212,"The Lodhi, Lodhi Road",28.59214705,77.2381855,2,"Bakery, Desserts, North Indian, Continental, Italian",3.3499999999999996,"Average, Good",189,1,Hotel,Indian Restaurant,Shop & Service,Cocktail Bar,BBQ Joint,Spa,Light Rail Station,Chinese Restaurant,Convenience Store,Hotel Bar
215,"The Taj Mahal Hotel, Mansingh Road",28.605068535714285,77.22402835857143,7,"Mediterranean, European, Cafe, North Indian, European, Continental, Malaysian, Thai, Japanese, Sushi, Chinese, Seafood, North Indian",3.7857142857142856,"Average, Good, Very Good",1976,1,Restaurant,Japanese Restaurant,Indian Restaurant,Ice Cream Shop,Hotel Bar,Chinese Restaurant,Women's Store,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
223,Uttam Nagar,28.619954351428582,77.05046312285715,35,"Fast Food, Mithai, North Indian, North Indian, Chinese, Fast Food, North Indian, Burger, Fast Food, Fast Food, Chinese, Fast Food, Chinese, North Indian, Pizza, Fast Food, Fast Food, Chinese, Bakery, Fast Food, North Indian, South Indian, Chinese, Fast Food, Street Food, Chinese, Mithai, North Indian, Fast Food, Chinese, North Indian, Fast Food, Bakery, North Indian, Bakery, Fast Food, Bakery, Street Food, North Indian, Chinese, North Indian, Beverages, Fast Food, Fast Food, Bakery, Street Food, Street Food, Fast Food, South Indian, Chinese, Mithai, North Indian, North Indian, South Indian, Chinese, Street Food, North Indian, Chinese, South Indian, Ice Cream, Desserts, Fast Food, Chinese, South Indian, North Indian, North Indian, North Indian, Chinese, North Indian",2.9057142857142857,"Average, Poor",242,1,ATM,Indian Restaurant,Chinese Restaurant,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
