,Locality,Lat,Lng,No_of_Restaurant,Cusines,Agg_Rating,Comments,No_of_Votes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,"ARSS Mall, Paschim Vihar",28.66894461,77.10154384,1,"North Indian, South Indian, Chinese, Mithai, Fast Food",3.1,Average,117,1,Indian Restaurant,ATM,Market,Coffee Shop,Chinese Restaurant,Sandwich Place,Multicuisine Indian Restaurant,Pizza Place,Hotel Bar,Furniture / Home Store
1,Adchini,28.53706255692308,77.19780817769231,13,"Fast Food, North Indian, Seafood, Continental, South Indian, North Indian, South Indian, North Indian, Chinese, Mughlai, Fast Food, South Indian, Pizza, North Indian, Chinese, Chinese, North Indian, Mediterranean, Italian, Continental, Seafood, Goan, Andhra, Kerala, Thai, Parsi",3.2923076923076926,"Average, Good, Poor, Very Good",1560,1,Indian Restaurant,Café,Pub,Women's Store,Food,Garden Center,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
2,"Aditya Mega Mall, Karkardooma",28.656130500000003,77.301265675,4,"Finger Food, North Indian, Mughlai, Pizza, Fast Food, North Indian, Chinese, Continental",3.2749999999999995,"Average, Good",434,1,Pizza Place,Shopping Mall,Indian Restaurant,Multiplex,Hotel,Café,Food,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
12,Asaf Ali Road,28.641697764999996,77.235172955,2,"Beverages, Fast Food, Pizza, Fast Food",3.05,Average,17,1,Indian Restaurant,Hostel,Movie Theater,Asian Restaurant,Hotel,Women's Store,French Restaurant,Food Court,Food Truck,Frozen Yogurt Shop
13,Ashok Vihar Phase 1,28.690182299999993,77.17313808,20,"Fast Food, North Indian, Street Food, North Indian, South Indian, Chinese, Fast Food, Mithai, North Indian, Chinese, Bakery, Bakery, Chinese, Fast Food, Street Food, North Indian, Chinese, North Indian, Mughlai, Chinese, Raw Meats, Fast Food, North Indian, Chinese, Fast Food, North Indian, Chinese, Mughlai, North Indian, Chinese, North Indian, Bakery, Desserts, Fast Food, North Indian, Mughlai, Bakery, Desserts, Chinese, Fast Food, Fast Food, Chinese, Bakery, Mithai",3.0900000000000003,"Average, Good, Poor",971,1,Dessert Shop,Market,Smoke Shop,BBQ Joint,Snack Place,Pizza Place,Indian Restaurant,Garden Center,Gaming Cafe,Furniture / Home Store
23,Chandni Chowk,28.656414466545456,77.22762745727272,55,"North Indian, Bakery, Mughlai, North Indian, Mughlai, Mithai, Fast Food, North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai, North Indian, North Indian, Fast Food, Chinese, South Indian, North Indian, Street Food, Chinese, South Indian, North Indian, North Indian, South Indian, North Indian, Mithai, Street Food, Fast Food, Burger, Fast Food, Burger, North Indian, Fast Food, South Indian, Street Food, Beverages, Street Food, North Indian, Mithai, Mithai, North Indian, South Indian, Mughlai, North Indian, Street Food, Desserts, North Indian, South Indian, North Indian, North Indian, North Indian, Street Food, North Indian, Chinese, Mughlai, Biryani, Mughlai, Beverages, Mithai, Street Food, North Indian, North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts, Street Food, Chinese, North Indian, Mithai, Mithai, Street Food, Beverages, Fast Food, Street Food, Mithai, Street Food, North Indian, North Indian, Mithai, Street Food, Mithai, Street Food, North Indian, South Indian, Mithai, Mithai, Street Food, Ice Cream, Mithai, North Indian, Street Food, Street Food, Mughlai, Street Food",3.358181818181818,"Average, Good, Very Good",6668,1,Indian Restaurant,Snack Place,Dessert Shop,Market,Vegetarian / Vegan Restaurant,Train Station,Paper / Office Supplies Store,Restaurant,Fish & Chips Shop,Furniture / Home Store
26,Chittaranjan Park,28.538687815454544,77.25054106151515,33,"Mithai, Bakery, North Indian, Mughlai, Chinese, North Indian, Chinese, North Indian, Fast Food, North Indian, Mughlai, Chinese, North Indian, Mughlai, Fast Food, South Indian, North Indian, Mughlai, Biryani, Fast Food, Mughlai, North Indian, Bengali, Continental, Chinese, Thai, Chinese, Mughlai, North Indian, Fast Food, Raw Meats, Fast Food, North Indian, Chinese, Mughlai, North Indian, Chinese, North Indian, Chinese, Biryani, North Indian, Mughlai, Chinese, North Indian, Mughlai, North Indian, Bengali, Fast Food, North Indian, Kashmiri, Mithai, Mithai, Street Food, Fast Food, Desserts, Fast Food, Continental, American, Fast Food, Bengali, North Indian, North Indian, Mughlai, Biryani, Bengali, Beverages, North Indian, Chinese, Fast Food, Biryani, North Indian",3.130303030303031,"Average, Good, Poor",2578,1,Market,Indian Restaurant,Park,Chinese Restaurant,Women's Store,Food,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop
33,"Cross River Mall, Karkardooma",28.657387840000002,77.30230004,5,"North Indian, Chinese, North Indian, Chinese, South Indian, Fast Food, Fast Food, Burger, North Indian, North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.3200000000000003,"Average, Good",636,1,Pizza Place,Indian Restaurant,Multiplex,Hotel,Flea Market,Garden,Gaming Cafe,Furniture / Home Store,Frozen Yogurt Shop,Fried Chicken Joint
42,"DLF South Square, Sarojini Nagar",28.576161266666674,77.1950638,6,"Pizza, Fast Food, Chinese, Seafood, Bakery, North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts, Fast Food, Burger, American, Fast Food, Salad, Healthy Food",2.983333333333333,"Average, Good, Poor",542,1,Indian Restaurant,Women's Store,Fast Food Restaurant,Market,Dessert Shop,Department Store,Restaurant,Pizza Place,Hotel Pool,Furniture / Home Store
43,Daryaganj,28.643320465,77.23983992125,24,"North Indian, South Indian, Chinese, Fast Food, North Indian, Fast Food, Cafe, North Indian, North Indian, Mughlai, Mughlai, North Indian, Chinese, Fast Food, South Indian, Bakery, Fast Food, Fast Food, Burger, Street Food, Mithai, North Indian, Chinese, South Indian, North Indian, Chinese, Mughlai, Parsi, North Indian, South Indian, North Indian, Mughlai, North Indian, Chinese, Mughlai, North Indian, Mughlai, North Indian, Chinese, North Indian, Mughlai, North Indian, North Indian, Pizza, Fast Food, Mughlai",3.2874999999999996,"Average, Good, Poor, Very Good",2570,1,Indian Restaurant,Restaurant,Hotel,Hostel,Road,Asian Restaurant,Movie Theater,Fried Chicken Joint,Food,Food Truck
